ID,Category,Subcategory,Requirement,Business Description,Functional Detail,Priority,Status,Dependencies,Related Requirements,Affected Modules,UX Impact,Risk,Source,Notes
AIM-001,Domain Model & API Contracts,AI-Ready Metadata,Flexible AI/context metadata fields (seed),"The data model should seed future AI support by allowing hidden/flexible context fields on key entities, without polluting core structured fields.","Allow optional context fields (e.g. strategy_context, generation_context, ai_context, metadata, source_context) on DCX, Version, Phase, Action, Task, Subtask. These are additive, never replace core fields, and are for future AI context, generation source, proposal/strategy links, reasoning, and template/objective mapping.",Seed Now / Future,Proposed,DM-001,AIC-001,src/types/domain.ts; src/types/api.ts; api-mappers.ts,No MVP UX; enables future AI features.,Low-Medium,Strategic Amends,Define as optional/extensible so backend and mappers do not break later.
IFX-001,Interaction & Motion System,Feedback System,Reusable interaction feedback & motion system,The app needs one reusable interaction-feedback system so visual quality is consistent and motion never owns business state.,"Modular, reusable effects for: valid drop-target highlight, invalid-drop feedback, parent-container glow, selected-card highlight, newly-created-item highlight, focus highlight, collapsed-container expansion animation, drag feedback, save/sync feedback, locked/disabled feedback. Effects must be modular, not hardcoded per card/island. Motion must never own business state or block save/load.",MVP + Seed Now,Confirmed,SBC-001,"KBI-001, DZ-001, SR-001",shared motion/feedback utilities; src/styles/tokens.ts; card/island consumers,"Polished, consistent interaction feedback.",Medium,Strategic Amends,Guardrail: animation never blocks or owns persistence.
TPL-001,Templates & Reuse (Seed),Object Template Popup,Contextual object template popup (seed),"Phase, Action, and Task cards should support a contextual template popup so users can later load object-relevant templates without a full template database in MVP.","Holding/clicking an object opens a contextual popup loading templates relevant to that object type, supporting categories, search, loading state, empty state, and object-aware results. Future apply: phase templates add/merge actions+tasks; action templates add/merge tasks; task templates fill fields/specs/subtasks. Template application must not blindly overwrite without review.",Seed Now / Future,Confirmed,"RV-020, BC-024",SPS-001,template popup component; src/services/ (future template service); import/merge engine,Future reuse of common structures.,Medium,Strategic Amends,Seed Now / Future; not full MVP template DB.
FCS-001,Builder UI Surfaces,Focus Island Engine,Focus Island as selection/filtering engine,"Focus Island is a strategic selection/filtering engine, not a simple filter. It lets users find and concentrate on specific work across the whole plan while preserving hierarchy.","Supports focus modes by Week, Action, Task, and Task property/spec (sender, receiver, channel, task type, subtask, future structured fields). On selecting a focus option, the system finds all matching tasks, selects them, highlights with animation, expands any collapsed phase/action containing them, and preserves hierarchy context. Works in both Kanban and Timeline.",MVP,Confirmed,"SBC-001, IFX-001",FCS-002,src/pages/builder/islands/FocusIsland/; selection engine; stage filtering,"Powerful, context-aware focusing.",Medium-High,Strategic Amends,Replaces/expands the current FocusIsland locate behavior.
FCS-002,Builder UI Surfaces,Focus Isolation Mode,Focus isolation (visual hide only),"Users should be able to isolate selected work by hiding everything else from view, without ever deleting data.",Focus Isolation Mode hides all non-selected tasks from the current view. An action with no visible selected tasks is hidden; a phase with no visible selected tasks is hidden. This is visual filtering only — no data is deleted. Works in Kanban and Timeline.,MVP,Confirmed,FCS-001,,src/pages/builder/islands/FocusIsland/; stage visibility layer,Distraction-free focus on relevant work.,Medium,Strategic Amends,"Non-negotiable guardrail: hides visually, never deletes."
VHB-001,Builder UI Surfaces,View Helper Bridge,View Helper Island cross-view bridge,The View Helper Island bridges Kanban and Timeline so users can plan across both without switching context manually.,"In Timeline view it shows a Kanban-style helper (zoomable, visually similar to main Kanban); tasks with set communication dates are disabled; undated tasks can be dragged into a timeline day, and dropping onto a day links/assigns the task to that campaign day. In Kanban view it shows a weekly timeline helper; scheduled tasks appear by week/day; dragging a task from the helper into an action changes the task's phase/action while the date remains unless changed. Uses the shared sticky/resizable/minimizable popup shell.",MVP,Confirmed,"SPS-001, DZ-001",STG-001,src/pages/builder/islands/ViewHelperIsland/; shared popup shell; dropzone engine,Plan across views without losing context.,Medium-High,Strategic Amends,Bridges opposite view logic; floats above stage.
SPS-001,Interaction & Motion System,Sticky Popup Shell,Reusable sticky resizable popup shell,A single reusable popup shell should serve all floating helper surfaces so they look and behave consistently and never disturb the stage layout.,"Reusable sticky, resizable, minimizable popup shell shared by AI Chat, View Helper Island, Google Docs/file preview, advanced Focus filter, and future template browser. It floats over the stage and does not resize the stage. Supports minimize, resize, sticky positioning, branded header, close behavior, and optional saved size/position as a user workspace preference.",MVP + Seed Now,Confirmed,,"AIC-001, VHB-001, EVI-001, EFP-001, UP-009",shared popup shell component; src/components/ui/,Consistent floating surfaces.,Medium,Strategic Amends,"Distinct from Editor/Viewer Island, which pushes the stage."
EFP-001,Files & External References,Embedded File Preview,Embedded Google Docs/file preview,"Version-level Drive/Docs links should be previewable inside the Builder using the shared popup shell, so users can reference approved docs without leaving the canvas.","Attempt to render the document via iframe/embed where supported, inside the shared sticky popup shell. If embedding fails (permissions, link format, browser restrictions), show a fallback to open externally. Rules: do not store file content, do not parse file content as product data in MVP, do not mutate Builder data from preview, Google Drive permissions remain outside the app.",MVP,Confirmed,"SPS-001, FI-003",FI-006,file preview component; shared popup shell; Drive link handling,Reference docs without leaving the Builder.,Medium,Strategic Amends,Preview only; never a data source in MVP.
EVI-001,Builder UI Surfaces,Editor / Viewer Island,Editor/Viewer Island (stage-pushing deep editor),The current Task Editor should become a general Editor/Viewer Island — the controlled deep-editing surface for complex object forms — that pushes the stage rather than overlapping it.,"MVP use: Task Editor. Future use: phase details, action details, AI metadata, strategy fields, advanced object forms. It is NOT a floating popup: it pushes/reduces the main stage width instead of overlapping the canvas. While open, the stage stays usable, cards stay selectable, the user can navigate the reduced stage, and the opened object stays selected/highlighted. Not resizable, but may contain smaller internal popups. On close/switch/leave with unsaved changes, the app must ask to save, discard, or cancel.",MVP,Confirmed,"SR-001, STG-003","SBC-005, RV-002",src/pages/builder/islands/EditorIsland/; StageManager layout contract,Deep editing without losing canvas context.,Medium-High,Strategic Amends,"Non-negotiable guardrail: Editor pushes the stage, not overlays it."
STG-001,Stage System,Stage Core,Stage as first-class shared system,"The Stage should be a first-class product component shared by all views, so Kanban, Timeline, Weekly, and Monthly are renderers inside one Stage rather than unrelated screens.","The Stage owns canvas boundaries, view switching, stage movement, week/month navigation, edge scrolling, off-stage dropzones, layout response to islands, transition feedback, and selected/focus context preservation. Kanban and Timeline are different renderers inside the same Stage concept.",MVP,Confirmed,,"STG-002, STG-003, VHB-001, FCS-001",src/pages/builder/stage/StageManager.tsx; view renderers,Coherent workspace across views.,Medium-High,Strategic Amends,Consolidates view behavior under one Stage system.
STG-002,Stage System,View Transition,Context-preserving view switching,Switching views should not feel like a hard reset; the workspace should keep useful context so users do not lose their place.,"View switching preserves useful context where possible: selected task, focus state, expanded containers, and stage position. Transitions provide feedback rather than reloading the workspace.",MVP,Confirmed,STG-001,"UP-002, FCS-001",src/pages/builder/stage/; view renderers; preference layer,"Smooth, continuous view changes.",Medium,Strategic Amends,Context preservation is best-effort and safe.
STG-004,Stage System,Kanban Stage Movement,Kanban movement & off-stage dropzones,Users dragging items in Kanban must never lose drag context when the target is outside the visible area.,"Kanban movement: phases horizontal; actions vertical within a phase and horizontal between phases; tasks within and between actions. When dragging near/beyond visible bounds, support edge-scroll, valid insertion zones, off-stage dropzones, and continuation feedback (e.g. moving a phase beyond bounds shows a valid insertion area or scrolls; moving an action to a far phase triggers horizontal movement/target highlight; moving a task to an action highlights the destination).",MVP,Confirmed,"STG-001, DZ-001",SBC-002,src/pages/builder/kanban/; stage movement; dropzone engine,Reliable long-distance drag in Kanban.,Medium-High,Strategic Amends,User never loses drag context off-screen.
STG-005,Stage System,Timeline Stage Movement,Timeline movement & off-stage date dropzones,Timeline planning must support dragging tasks to dates outside the visible range without forcing the user to cancel and restart.,Timeline movement: next/previous week or month moves the stage in a controlled way; dragging a task toward a date outside the visible range exposes edge navigation or valid outside-date dropzones; dropping on a valid date updates the task's date context.,MVP,Confirmed,"STG-001, DZ-001, DM-009",BC-008,src/pages/builder/timeline/; stage movement; dropzone engine,Fluid timeline scheduling.,Medium-High,Strategic Amends,Supports drag across time ranges without restart.
STG-003,Stage System,Layout Contract,Stage + island layout contract,"Different surfaces affect the Stage differently, and this must be explicit so future components do not break the canvas.",Explicit layout contract: Editor/Viewer Island reduces/pushes the stage (no overlay); sticky popup shell floats above the stage (no resize); Focus Island filters/isolates visible data (no mutation); View Helper popup floats above the stage and bridges opposite-view logic. Future components must declare which contract they follow.,MVP + Seed Now,Confirmed,"STG-001, EVI-001, SPS-001, FCS-001, VHB-001","UP-005, UP-020",src/pages/builder/stage/StageManager.tsx; island layout contract,Predictable layout as features grow.,Medium-High,Strategic Amends,Foundational contract for all builder surfaces.
DZ-001,Stage System,Dropzone Engine,Typed shared dropzone engine,"Dropzones should be generated by view rules, not hardcoded inside components, so Kanban and Timeline drag/drop stay consistent and future-proof.","A typed dropzone model defines: view type, target type, accepted dragged object types, target ID, position, active state, edge-zone state, and the command to run on drop. Dropzones are generated by view rules. Drop actions route through named mutation commands.",MVP + Seed Now,Confirmed,"STG-001, BC-030","SBC-002, STG-004, STG-005",dropzone engine; src/pages/builder/kanban/; src/pages/builder/timeline/; builder mutation commands,"Consistent, reliable drag/drop.",Medium-High,Strategic Amends,Guardrail: drag/drop routes through named mutation commands.
